partij_nummer,datum,partij_type,geladen_cactag6,geladen_bleche,gelost_cactag6,gelost_bleche
47,2025-02-20,klant,4,11,4,11
47,2025-02-28,klant,7,0,7,0
47,2025-03-20,klant,7,0,0,0
47,2025-04-15,klant,0,0,2,4
47,2025-04-24,klant,3,8,1,2
47,2025-05-29,klant,0,0,2,3
47,2025-06-10,klant,2,6,3,10
47,2025-06-19,klant,0,0,5,8
55,2025-04-01,klant,3,7,3,7
55,2025-05-23,klant,0,0,2,4
55,2025-07-10,klant,4,7,2,5
59,2025-04-01,klant,5,14,5,14
60,2025-04-01,klant,6,5,6,5
60,2025-07-22,klant,0,0,2,2
73,2025-04-15,klant,0,0,4,8
73,2025-05-06,klant,3,9,1,3
73,2025-10-01,klant,0,0,4,11
74,2025-03-13,klant,0,0,3,2
74,2025-03-20,klant,4,4,2,2
74,2025-06-19,klant,0,0,4,3
74,2025-07-02,klant,5,3,0,0
76,2025-01-14,klant,0,0,6,4
76,2025-04-04,klant,0,0,11,16
76,2025-05-20,klant,0,0,9,14
76,2025-06-10,klant,0,0,5,3
76,2025-06-13,klant,0,0,8,16
76,2025-07-02,klant,0,0,6,15
79,2025-02-10,klant,0,0,19,41
79,2025-02-11,klant,19,41,0,0
79,2025-02-20,klant,1,2,1,2
79,2025-03-20,klant,3,3,3,3
79,2025-04-03,klant,2,4,2,4
81,2025-02-20,klant,11,23,11,23
81,2025-02-28,klant,1,3,1,3
81,2025-04-03,klant,0,0,4,9
81,2025-04-18,klant,0,0,6,11
81,2025-05-29,klant,0,0,1,3
81,2025-06-19,klant,0,0,8,6
81,2025-07-03,klant,14,17,0,0
81,2025-09-11,klant,0,0,1,2
83,2025-02-25,klant,0,0,6,15
83,2025-03-20,klant,7,0,7,0
83,2025-04-16,klant,0,0,4,10
83,2025-07-03,klant,10,25,0,0
83,2025-09-02,klant,0,0,3,24
83,2025-09-10,klant,0,0,3,24
84,2025-02-25,klant,13,19,13,19
84,2025-05-29,klant,0,0,1,2
84,2025-06-19,klant,0,0,4,7
87,2025-02-25,klant,4,7,4,7
87,2025-05-20,klant,0,0,1,3
87,2025-07-10,klant,3,6,2,3
92,2025-02-25,klant,0,0,8,11
92,2025-05-20,klant,8,11,3,5
92,2025-07-03,klant,3,5,0,0
94,2025-02-11,klant,16,29,0,0
94,2025-02-20,klant,3,4,3,4
94,2025-05-05,klant,0,0,2,3
94,2025-06-10,klant,0,0,9,21
94,2025-06-16,klant,1,2,1,1
94,2025-09-11,klant,0,0,24,18
99,2025-02-25,klant,6,13,6,13
99,2025-03-31,klant,0,0,1,2
101,2025-10-03,klant,0,0,31,85
111,2025-05-06,klant,0,0,2,4
125,2025-02-25,klant,0,0,8,10
